Code,Company Name,Nikkei Industrial Classification,Sector,Weight
6302,"SUMITOMO HEAVY IND., LTD.",Machinery,Capital Goods/Others,0.07%
6305,"HITACHI CONST. MACH. CO., LTD.",Machinery,Capital Goods/Others,0.39%
6326,KUBOTA CORP.,Machinery,Capital Goods/Others,0.25%
6361,EBARA CORP.,Machinery,Capital Goods/Others,0.13%
6367,"DAIKIN INDUSTRIES, LTD.",Machinery,Capital Goods/Others,2.74%
6471,NSK LTD.,Machinery,Capital Goods/Others,0.09%
6472,NTN CORP.,Machinery,Capital Goods/Others,0.04%
6473,JTEKT CORP.,Machinery,Capital Goods/Others,0.12%
6479,MINEBEA MITSUMI INC.,Electric Machinery,Technology,0.27%
6501,"HITACHI, LTD.",Electric Machinery,Technology,0.18%
6503,MITSUBISHI ELECTRIC CORP.,Electric Machinery,Technology,0.17%
6504,"FUJI ELECTRIC CO., LTD.",Electric Machinery,Technology,0.14%
6506,YASKAWA ELECTRIC CORP.,Electric Machinery,Technology,0.54%
6594,NIDEC CORP.,Electric Machinery,Technology,0.84%
6645,OMRON CORP.,Electric Machinery,Technology,0.86%
6674,GS YUASA CORP.,Electric Machinery,Technology,0.05%
6701,NEC CORP.,Electric Machinery,Technology,0.06%
6702,FUJITSU LTD.,Electric Machinery,Technology,0.23%
6724,SEIKO EPSON CORP.,Electric Machinery,Technology,0.53%
6752,PANASONIC HOLDINGS CORP.,Electric Machinery,Technology,0.16%
6753,SHARP CORP.,Electric Machinery,Technology,0.12%
6758,SONY GROUP CORP.,Electric Machinery,Technology,1.38%
6762,TDK CORP.,Electric Machinery,Technology,1.79%
6770,"ALPS ALPINE CO., LTD.",Electric Machinery,Technology,0.16%
6841,YOKOGAWA ELECTRIC CORP.,Electric Machinery,Technology,0.31%
6857,ADVANTEST CORP.,Electric Machinery,Technology,2.24%
6861,KEYENCE CORP.,Electric Machinery,Technology,0.70%
6902,DENSO CORP.,Electric Machinery,Technology,0.92%
6952,"CASIO COMPUTER CO., LTD.",Electric Machinery,Technology,0.16%
6954,FANUC CORP.,Electric Machinery,Technology,2.49%
6971,KYOCERA CORP.,Electric Machinery,Technology,1.71%
6976,"TAIYO YUDEN CO., LTD.",Electric Machinery,Technology,0.53%
6981,"MURATA MANUFACTURING CO., LTD.",Electric Machinery,Technology,0.73%
6988,NITTO DENKO CORP.,Chemicals,Materials,1.05%
7003,"MITSUI E&S HOLDINGS CO., LTD.",Shipbuilding,Capital Goods/Others,0.01%
7004,HITACHI ZOSEN CORP.,Machinery,Capital Goods/Others,0.02%
7011,"MITSUBISHI HEAVY IND., LTD.",Machinery,Capital Goods/Others,0.07%
7012,"KAWASAKI HEAVY IND., LTD.",Shipbuilding,Capital Goods/Others,0.04%
7013,IHI CORP.,Machinery,Capital Goods/Others,0.05%
7186,"CONCORDIA FINANCIAL GROUP, LTD.",Banking,Financials,0.06%
7201,"NISSAN MOTOR CO., LTD.",Automobiles & Auto parts,Technology,0.06%
7202,ISUZU MOTORS LTD.,Automobiles & Auto parts,Technology,0.11%
7203,TOYOTA MOTOR CORP.,Automobiles & Auto parts,Technology,1.23%
7205,"HINO MOTORS, LTD.",Automobiles & Auto parts,Technology,0.08%
7211,MITSUBISHI MOTORS CORP.,Automobiles & Auto parts,Technology,0.01%
7261,MAZDA MOTOR CORP.,Automobiles & Auto parts,Technology,0.03%
7267,"HONDA MOTOR CO., LTD.",Automobiles & Auto parts,Technology,0.82%
7269,SUZUKI MOTOR CORP.,Automobiles & Auto parts,Technology,0.60%
7270,SUBARU CORP.,Automobiles & Auto parts,Technology,0.29%
7272,"YAMAHA MOTOR CO., LTD.",Automobiles & Auto parts,Technology,0.42%
7731,NIKON CORP.,Precision Instruments,Technology,0.16%
7733,OLYMPUS CORP.,Precision Instruments,Technology,1.37%
7735,"SCREEN HOLDINGS CO., LTD.",Electric Machinery,Technology,0.22%
7741,HOYA CORP.,Precision Instruments,Technology,0.86%
7751,CANON INC.,Electric Machinery,Technology,0.59%
7752,"RICOH CO., LTD.",Electric Machinery,Technology,0.13%
7762,"CITIZEN WATCH CO., LTD.",Precision Instruments,Technology,0.07%
7832,BANDAI NAMCO HOLDINGS INC.,Other Manufacturing,Capital Goods/Others,1.11%
7911,TOPPAN INC.,Other Manufacturing,Capital Goods/Others,0.13%
7912,"DAI NIPPON PRINTING CO., LTD.",Other Manufacturing,Capital Goods/Others,0.17%
7951,YAMAHA CORP.,Other Manufacturing,Capital Goods/Others,0.66%
7974,"NINTENDO CO., LTD.",Services,Consumer Goods,0.72%
8001,ITOCHU CORP.,Trading Companies,Materials,0.52%
8002,MARUBENI CORP.,Trading Companies,Materials,0.19%
8015,TOYOTA TSUSHO CORP.,Trading Companies,Materials,0.64%
8031,"MITSUI & CO., LTD.",Trading Companies,Materials,0.49%
8035,TOKYO ELECTRON LTD.,Electric Machinery,Technology,5.52%
8053,SUMITOMO CORP.,Trading Companies,Materials,0.28%
8058,MITSUBISHI CORP.,Trading Companies,Materials,0.56%
8233,"TAKASHIMAYA CO., LTD.",Retail,Consumer Goods,0.11%
8252,"MARUI GROUP CO., LTD.",Retail,Consumer Goods,0.29%
8253,"CREDIT SAISON CO., LTD.",Other Financial Services,Financials,0.22%
8267,"AEON CO., LTD.",Retail,Consumer Goods,0.35%
8304,"AOZORA BANK, LTD.",Banking,Financials,0.03%
8306,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",Banking,Financials,0.09%
8308,"RESONA HOLDINGS, INC.",Banking,Financials,0.01%
8309,"SUMITOMO MITSUI TRUST HOLDINGS, INC.",Banking,Financials,0.05%
8316,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",Banking,Financials,0.06%
8331,"THE CHIBA BANK, LTD.",Banking,Financials,0.10%
8354,"FUKUOKA FINANCIAL GROUP, INC.",Banking,Financials,0.07%
8411,"MIZUHO FINANCIAL GROUP, INC.",Banking,Financials,0.02%
8591,ORIX CORP.,Other Financial Services,Financials,0.27%
8601,DAIWA SECURITIES GROUP INC.,Securities,Financials,0.07%
8604,"NOMURA HOLDINGS, INC.",Securities,Financials,0.06%
8628,"MATSUI SECURITIES CO., LTD.",Securities,Financials,0.10%
8630,"SOMPO HOLDINGS, INC.",Insurance,Financials,0.15%
8697,"JAPAN EXCHANGE GROUP, INC.",Other Financial Services,Financials,0.24%
8725,"MS&AD INSURANCE GROUP HOLDINGS, INC.",Insurance,Financials,0.15%
8750,"DAI-ICHI LIFE HOLDINGS, INC.",Insurance,Financials,0.03%
8766,"TOKIO MARINE HOLDINGS, INC.",Insurance,Financials,0.52%
8795,"T&D HOLDINGS, INC.",Insurance,Financials,0.04%
8801,"MITSUI FUDOSAN CO., LTD.",Real Estate,Capital Goods/Others,0.34%
8802,"MITSUBISHI ESTATE CO., LTD.",Real Estate,Capital Goods/Others,0.24%
8804,"TOKYO TATEMONO CO., LTD.",Real Estate,Capital Goods/Others,0.12%
8830,"SUMITOMO REALTY & DEVELOPMENT CO., LTD.",Real Estate,Capital Goods/Others,0.46%
9001,"TOBU RAILWAY CO., LTD.",Railway & Bus,Transportation and Utilities,0.08%
9005,TOKYU CORP.,Railway & Bus,Transportation and Utilities,0.11%
9007,"ODAKYU ELECTRIC RAILWAY CO., LTD.",Railway & Bus,Transportation and Utilities,0.11%
9008,KEIO CORP.,Railway & Bus,Transportation and Utilities,0.13%
9009,"KEISEI ELECTRIC RAILWAY CO., LTD.",Railway & Bus,Transportation and Utilities,0.24%
9020,EAST JAPAN RAILWAY CO.,Railway & Bus,Transportation and Utilities,0.10%
9021,WEST JAPAN RAILWAY CO.,Railway & Bus,Transportation and Utilities,0.07%
9022,"CENTRAL JAPAN RAILWAY CO., LTD.",Railway & Bus,Transportation and Utilities,0.20%
9064,"YAMATO HOLDINGS CO., LTD.",Land Transport,Transportation and Utilities,0.28%
9101,NIPPON YUSEN K.K.,Marine Transport,Transportation and Utilities,0.11%
9104,"MITSUI O.S.K.LINES, LTD.",Marine Transport,Transportation and Utilities,0.12%
9107,"KAWASAKI KISEN KAISHA, LTD.",Marine Transport,Transportation and Utilities,0.10%
9147,"NIPPON EXPRESS HOLDINGS, INC.",Land Transport,Transportation and Utilities,0.10%
9202,ANA HOLDINGS INC.,Air Transport,Transportation and Utilities,0.04%
9301,MITSUBISHI LOGISTICS CORP.,Warehousing,Transportation and Utilities,0.20%
9432,NIPPON TELEGRAPH & TELEPHONE CORP.,Communications,Technology,0.19%
9433,KDDI CORP.,Communications,Technology,3.02%
9434,SOFTBANK CORP.,Communications,Technology,0.18%
9501,"TOKYO ELECTRIC POWER COMPANY HOLDINGS, I",Electric Power,Transportation and Utilities,0.01%
9502,"CHUBU ELECTRIC POWER CO., INC.",Electric Power,Transportation and Utilities,0.02%
9503,"THE KANSAI ELECTRIC POWER CO., INC.",Electric Power,Transportation and Utilities,0.01%
9531,"TOKYO GAS CO., LTD.",Gas,Transportation and Utilities,0.06%
9532,"OSAKA GAS CO., LTD.",Gas,Transportation and Utilities,0.05%
9602,"TOHO CO., LTD",Services,Consumer Goods,0.06%
9613,NTT DATA CORP.,Communications,Technology,1.29%
9735,"SECOM CO., LTD.",Services,Consumer Goods,1.04%
9766,KONAMI GROUP CORP.,Services,Consumer Goods,0.79%
9983,"FAST RETAILING CO., LTD.",Retail,Consumer Goods,9.89%
9984,SOFTBANK GROUP CORP.,Communications,Technology,4.37%
